"strategy"wins","draws","losses","score","points","
"4, 17, 17, 17, 4, 17, 17, 3, 4",7106,659,4331,7435.5,9
"4, 17, 17, 17, 4, 17, 17, 3, 4",7106,659,4331,7435.5,9
"4, 3, 17, 17, 4, 17, 17, 17, 4",7081,680,4335,7421,9
"4, 16, 17, 4, 4, 17, 17, 17, 4",7028,718,4350,7387,9
"4, 17, 17, 3, 3, 18, 17, 17, 4",7055,658,4383,7384,9
"3, 17, 17, 17, 6, 17, 3, 17, 3",7052,657,4387,7380.5,9
"5, 17, 17, 17, 5, 17, 4, 17, 1",7064,632,4400,7380,9
"5, 18, 18, 0, 5, 0, 18, 18, 18",7130,414,4552,7337,9
"5, 17, 3, 17, 4, 17, 3, 17, 17",7046,568,4482,7330,9
"5, 3, 3, 17, 5, 17, 17, 16, 17",6970,654,4472,7297,9
"4, 17, 17, 17, 4, 4, 17, 4, 16",6986,597,4513,7284.5,9
"5, 5, 17, 17, 3, 16, 17, 16, 4",6892,782,4422,7283,9
"3, 18, 18, 17, 3, 18, 3, 17, 3",6958,650,4488,7283,9
"3, 18, 18, 17, 3, 17, 17, 4, 3",6943,672,4481,7279,9
"3, 18, 17, 3, 3, 18, 17, 18, 3",6947,663,4486,7278.5,9
"4, 17, 15, 17, 7, 17, 2, 17, 4",6923,710,4463,7278,9
"3, 17, 3, 18, 3, 18, 17, 18, 3",6957,632,4507,7273,9
"3, 18, 3, 18, 3, 18, 17, 17, 3",6931,656,4509,7259,9
"4, 4, 17, 4, 3, 17, 17, 17, 17",6934,631,4531,7249.5,9
"4, 4, 16, 4, 4, 17, 17, 17, 17",6919,658,4519,7248,9
"3, 18, 18, 18, 3, 18, 18, 2, 2",6962,559,4575,7241.5,9
"5, 16, 16, 16, 5, 16, 5, 16, 5",6796,879,4421,7235.5,9
"4, 4, 4, 17, 3, 17, 17, 17, 17",6914,627,4555,7227.5,9
"3, 3, 3, 17, 7, 17, 17, 17, 16",6906,642,4548,7227,9
"2, 17, 17, 17, 7, 4, 17, 17, 2",6935,579,4582,7224.5,9
"6, 16, 16, 16, 6, 16, 16, 2, 6",6824,799,4473,7223.5,9
"3, 16, 3, 17, 3, 17, 20, 18, 3",6831,768,4497,7215,9
"4, 16, 2, 2, 6, 19, 19, 16, 16",6885,651,4560,7210.5,9
"2, 17, 2, 17, 6, 17, 17, 5, 17",6923,549,4624,7197.5,9
"3, 17, 3, 18, 3, 18, 3, 18, 17",6918,554,4624,7195,9
"6, 4, 3, 16, 6, 16, 16, 17, 16",6836,703,4557,7187.5,9
"3, 17, 3, 17, 3, 18, 18, 3, 18",6883,607,4606,7186.5,9
"4, 17, 17, 3, 18, 17, 3, 17, 4",6901,569,4626,7185.5,9
"4, 17, 17, 4, 17, 3, 17, 17, 4",6893,574,4629,7180,9
"3, 18, 18, 18, 3, 2, 18, 2, 18",6912,525,4659,7174.5,9
"3, 18, 3, 18, 3, 18, 3, 18, 16",6885,569,4642,7169.5,9
"5, 17, 20, 5, 5, 17, 21, 5, 5",6943,436,4717,7161,9
"3, 2, 18, 19, 2, 18, 18, 18, 2",6886,544,4666,7158,9
"17, 4, 17, 17, 4, 16, 17, 4, 4",6828,655,4613,7155.5,8
"3, 20, 17, 3, 3, 17, 3, 17, 17",6821,665,4610,7153.5,8
"17, 4, 17, 17, 3, 17, 4, 17, 4",6837,628,4631,7151,8
"2, 18, 18, 18, 2, 18, 3, 18, 3",6882,535,4679,7149.5,8
"4, 18, 21, 17, 3, 1, 16, 3, 17",6827,636,4633,7145,8
"4, 16, 21, 16, 3, 16, 16, 4, 4",6711,863,4522,7142.5,8
"2, 18, 18, 18, 2, 19, 2, 18, 3",6871,533,4692,7137.5,8
