"strategy","wins","draws","losses","score","points"
"3, 14, 14, 13, 3, 13, 13, 14, 13",17294,1051,12750,17819.5,9
"5, 13, 13, 13, 4, 13, 13, 13, 13",17252,1089,12754,17796.5,9
"4, 13, 13, 13, 5, 13, 13, 13, 13",17247,1070,12778,17782,9
"13, 13, 13, 13, 4, 13, 13, 13, 5",17223,1068,12804,17757,9
"2, 13, 13, 15, 2, 13, 15, 14, 13",17041,1406,12648,17744,9
"12, 12, 12, 13, 2, 13, 12, 12, 12",16784,1891,12420,17729.5,9
"12, 12, 12, 13, 1, 13, 12, 13, 12",16846,1765,12484,17728.5,9
"12, 13, 12, 13, 1, 13, 12, 12, 12",16813,1816,12466,17721,9
"12, 13, 12, 13, 1, 13, 12, 12, 12",16813,1816,12466,17721,9
"12, 12, 13, 13, 1, 12, 12, 12, 13",16814,1799,12482,17713.5,9
"4, 13, 13, 13, 13, 13, 13, 13, 5",17168,1085,12842,17710.5,9
"12, 12, 12, 12, 2, 12, 13, 13, 12",16771,1877,12447,17709.5,9
"3, 14, 14, 14, 13, 13, 13, 13, 3",17167,1085,12843,17709.5,9
"13, 13, 12, 12, 1, 13, 12, 12, 12",16800,1805,12490,17702.5,9
"13, 12, 13, 12, 1, 12, 13, 12, 12",16779,1833,12483,17695.5,9
"13, 12, 13, 12, 1, 12, 13, 12, 12",16779,1833,12483,17695.5,9
"13, 12, 12, 12, 2, 12, 12, 12, 13",16772,1846,12477,17695,9
"12, 13, 12, 13, 0, 13, 12, 13, 12",16840,1706,12549,17693,9
"12, 13, 12, 13, 0, 13, 12, 13, 12",16840,1706,12549,17693,9
"12, 13, 12, 13, 0, 13, 12, 13, 12",16840,1706,12549,17693,9
"12, 13, 12, 13, 1, 12, 12, 13, 12",16795,1795,12505,17692.5,9
"12, 12, 13, 13, 0, 12, 12, 13, 13",16841,1689,12565,17685.5,9
"13, 12, 13, 12, 1, 12, 12, 13, 12",16782,1801,12512,17682.5,9
"13, 12, 13, 12, 0, 12, 13, 12, 13",16825,1710,12560,17680,9
"13, 12, 13, 12, 0, 12, 13, 12, 13",16825,1710,12560,17680,9
"13, 12, 13, 12, 0, 12, 13, 12, 13",16825,1710,12560,17680,9
"13, 12, 13, 12, 0, 12, 13, 12, 13",16825,1710,12560,17680,9
"13, 13, 5, 13, 4, 13, 13, 13, 13",17156,1038,12901,17675,9
"13, 13, 13, 12, 1, 12, 12, 12, 12",16749,1852,12494,17675,9
"3, 13, 13, 13, 13, 13, 13, 13, 6",17123,1096,12876,17671,9
"3, 14, 13, 13, 14, 13, 13, 14, 3",17120,1095,12880,17667.5,9
"13, 13, 13, 13, 4, 13, 5, 13, 13",17133,1060,12902,17663,9
"12, 12, 14, 12, 1, 12, 13, 12, 12",16690,1927,12478,17653.5,9
"5, 13, 13, 4, 13, 13, 13, 13, 13",17118,1066,12911,17651,9
"4, 13, 13, 13, 13, 5, 13, 13, 13",17112,1071,12912,17647.5,9
"4, 13, 13, 13, 13, 13, 13, 5, 13",17062,1127,12906,17625.5,9
"4, 5, 13, 13, 13, 13, 13, 13, 13",17080,1086,12929,17623,9
"3, 15, 15, 15, 3, 16, 15, 15, 3",16901,1405,12789,17603.5,9
"7, 13, 13, 13, 1, 13, 13, 13, 14",17050,1094,12951,17597,9
"3, 12, 13, 14, 15, 14, 13, 12, 4",16910,1359,12826,17589.5,9
"12, 12, 13, 0, 13, 13, 12, 13, 12",16743,1686,12666,17586,9
"13, 13, 13, 13, 13, 13, 13, 4, 5",17048,1063,12984,17579.5,9
"13, 13, 13, 13, 13, 13, 13, 5, 4",17010,1137,12948,17578.5,9
"13, 13, 13, 13, 13, 13, 13, 5, 4",17010,1137,12948,17578.5,9
"13, 13, 13, 13, 13, 13, 13, 5, 4",17010,1137,12948,17578.5,9
"13, 12, 12, 12, 13, 1, 12, 12, 13",16700,1752,12643,17576,9
"14, 14, 13, 13, 2, 13, 2, 14, 15",17002,1148,12945,17576,9
"3, 15, 15, 15, 3, 15, 15, 15, 4",16873,1401,12821,17573.5,9
"12, 12, 12, 14, 0, 14, 12, 12, 12",16639,1865,12591,17571.5,9
"2, 13, 14, 15, 15, 13, 13, 13, 2",16817,1498,12780,17566,9
"13, 13, 14, 13, 13, 3, 13, 3, 15",17001,1129,12965,17565.5,9
"13, 12, 13, 12, 13, 1, 12, 12, 12",16648,1833,12614,17564.5,9
"12, 12, 12, 12, 4, 12, 12, 12, 12",16544,2040,12511,17564,9
"12, 12, 12, 12, 4, 12, 12, 12, 12",16544,2040,12511,17564,9
"12, 12, 12, 12, 4, 12, 12, 12, 12",16544,2040,12511,17564,9
"12, 12, 12, 12, 4, 12, 12, 12, 12",16544,2040,12511,17564,9
"12, 12, 12, 12, 4, 12, 12, 12, 12",16544,2040,12511,17564,9
"12, 12, 12, 12, 4, 12, 12, 12, 12",16544,2040,12511,17564,9
"12, 12, 12, 12, 4, 12, 12, 12, 12",16544,2040,12511,17564,9
"12, 12, 12, 12, 4, 12, 12, 12, 12",16544,2040,12511,17564,9
"12, 12, 12, 12, 4, 12, 12, 12, 12",16544,2040,12511,17564,9
"12, 12, 12, 12, 4, 12, 12, 12, 12",16544,2040,12511,17564,9
"12, 12, 12, 12, 4, 12, 12, 12, 12",16544,2040,12511,17564,9
"12, 12, 12, 12, 4, 12, 12, 12, 12",16544,2040,12511,17564,9
"12, 12, 12, 12, 4, 12, 12, 12, 12",16544,2040,12511,17564,9
"12, 12, 13, 1, 12, 13, 12, 12, 13",16577,1955,12563,17554.5,9
"2, 12, 13, 12, 13, 12, 12, 12, 12",16528,2031,12536,17543.5,9
"3, 15, 15, 15, 4, 15, 15, 15, 3",16836,1410,12849,17541,9
"3, 15, 15, 15, 4, 15, 15, 15, 3",16836,1410,12849,17541,9
"12, 13, 12, 12, 13, 0, 12, 13, 13",16733,1616,12746,17541,9
"3, 15, 15, 15, 4, 15, 15, 15, 3",16836,1410,12849,17541,9
"12, 12, 1, 12, 12, 12, 13, 13, 13",16559,1920,12616,17519,9
"13, 13, 13, 4, 13, 13, 5, 13, 13",16999,1037,13059,17517.5,9
"12, 12, 12, 13, 13, 13, 1, 12, 12",16612,1811,12672,17517.5,9
"12, 12, 12, 13, 13, 12, 2, 12, 12",16570,1889,12636,17514.5,9
"13, 13, 13, 5, 13, 13, 13, 4, 13",16982,1064,13049,17514,9
"12, 12, 2, 12, 12, 12, 12, 13, 13",16516,1995,12584,17513.5,9
"3, 12, 12, 12, 12, 12, 12, 12, 13",16458,2108,12529,17512,9
"3, 12, 12, 12, 12, 12, 12, 12, 13",16458,2108,12529,17512,9
"2, 2, 14, 14, 14, 14, 14, 13, 13",16925,1172,12998,17511,9
"14, 14, 1, 14, 1, 14, 14, 14, 14",17022,976,13097,17510,9
"2, 15, 12, 15, 1, 16, 12, 15, 12",16584,1850,12661,17509,9
"3, 3, 15, 15, 3, 15, 15, 16, 15",16826,1362,12907,17507,9
"12, 13, 12, 13, 12, 1, 12, 13, 12",16528,1955,12612,17505.5,9
"3, 12, 12, 12, 12, 12, 12, 13, 12",16439,2121,12535,17499.5,9
"13, 12, 12, 12, 13, 12, 2, 12, 12",16557,1878,12660,17496,9
"13, 13, 13, 1, 12, 12, 12, 12, 12",16486,2012,12597,17492,9
"14, 14, 2, 13, 13, 14, 14, 14, 2",16954,1069,13072,17488.5,9
"13, 14, 14, 14, 14, 13, 13, 3, 2",16908,1160,13027,17488,9
"2, 12, 12, 12, 12, 12, 13, 13, 12",16425,2123,12547,17486.5,9
"14, 14, 14, 14, 0, 2, 14, 14, 14",17003,966,13126,17486,9
"2, 16, 16, 16, 2, 15, 16, 15, 2",16759,1447,12889,17482.5,9
"2, 15, 16, 15, 2, 16, 16, 16, 2",16724,1511,12860,17479.5,9
"2, 16, 15, 16, 2, 16, 15, 16, 2",16726,1504,12865,17478,9
"2, 16, 15, 16, 2, 16, 15, 16, 2",16726,1504,12865,17478,9
"13, 13, 13, 22, 0, 0, 13, 13, 13",16880,1193,13022,17476.5,8
"12, 13, 12, 13, 13, 13, 0, 12, 12",16632,1688,12775,17476,8
